55,56,I-Need-Your-Love,Calvin-Harris,http://genius.com/Calvin-Harris-I-Need-Your-Love-lyrics
56,57,Die-Young,Kesha,http://genius.com/Kesha-Die-Young-lyrics
57,58,Some-Nights,Fun,http://genius.com/Fun-Some-Nights-lyrics
58,59,Bad,Wale,http://genius.com/Wale-Bad-lyrics
59,60,Boys-Round-Here,Blake-Shelton,http://genius.com/Blake-Shelton-Boys-Round-Here-lyrics
60,61,Gone-Gone-Gone,Phillip-Phillips,http://genius.com/Phillip-Phillips-Gone-Gone-Gone-lyrics
61,62,Demons,Imagine-Dragons,http://genius.com/Imagine-Dragons-Demons-lyrics
62,63,Counting-Stars,OneRepublic,http://genius.com/OneRepublic-Counting-Stars-lyrics
63,64,I-Cry,Flo-Rida,http://genius.com/Flo-Rida-I-Cry-lyrics
64,65,Little-Talks,Of-Monsters-and-Men,http://genius.com/Of-Monsters-and-Men-Little-Talks-lyrics
65,66,The-Other-Side,Jason-Derulo,http://genius.com/Jason-Derulo-The-Other-Side-lyrics
66,67,Berzerk,Eminem,http://genius.com/Eminem-Berzerk-lyrics
67,68,Catch-My-Breath,Kelly-Clarkson,http://genius.com/Kelly-Clarkson-Catch-My-Breath-lyrics
68,69,Crash-My-Party,Luke-Bryan,http://genius.com/Luke-Bryan-Crash-My-Party-lyrics
69,70,Pour-It-Up,Rihanna,http://genius.com/Rihanna-Pour-It-Up-lyrics
70,71,22,Taylor-Swift,http://genius.com/Taylor-Swift-22-lyrics
71,72,I-Want-Crazy,Hunter-Hayes,http://genius.com/Hunter-Hayes-I-Want-Crazy-lyrics
72,73,The-Fox-What-Does-the-Fox-Say,Ylvis,http://genius.com/Ylvis-The-Fox-What-Does-the-Fox-Say-lyrics
73,74,Best-Song-Ever,One-Direction,http://genius.com/One-Direction-Best-Song-Ever-lyrics
74,75,The-A-Team,Ed-Sheeran,http://genius.com/Ed-Sheeran-The-A-Team-lyrics
75,76,Carry-On,Fun,http://genius.com/Fun-Carry-On-lyrics
76,77,Highway-Dont-Care,Tim-McGraw,http://genius.com/Tim-McGraw-Highway-Dont-Care-lyrics
77,78,Thats-My-Kind-of-Night,Luke-Bryan,http://genius.com/Luke-Bryan-Thats-My-Kind-of-Night-lyrics
78,79,Swimming-Pools-Drank,Kendrick-Lamar,http://genius.com/Kendrick-Lamar-Swimming-Pools-Drank-lyrics
79,80,Sure-Be-Cool-If-You-Did,Blake-Shelton,http://genius.com/Blake-Shelton-Sure-Be-Cool-If-You-Did-lyrics
80,81,Beautiful,Mariah-Carey,http://genius.com/Mariah-Carey-Beautiful-lyrics
81,82,Troublemaker,Olly-Murs,http://genius.com/Olly-Murs-Troublemaker-lyrics
82,83,Body-Party,Ciara,http://genius.com/Ciara-Body-Party-lyrics
83,84,Adorn,Miguel,http://genius.com/Miguel-Adorn-lyrics
84,85,Hall-of-Fame,The-Script,http://genius.com/The-Script-Hall-of-Fame-lyrics
85,86,Let-Me-Love-You-Until-You-Learn-to-Love-Yourself,Ne-Yo,http://genius.com/Ne-Yo-Let-Me-Love-You-Until-You-Learn-to-Love-Yourself-lyrics
86,87,UOENO,Rocko,http://genius.com/Rocko-UOENO-lyrics
87,88,Next-to-Me,Emeli-Sande,http://genius.com/Emeli-Sande-Next-to-Me-lyrics
88,89,Mamas-Broken-Heart,Miranda-Lambert,http://genius.com/Miranda-Lambert-Mamas-Broken-Heart-lyrics
89,90,It-Goes-Like-This,Thomas-Rhett,http://genius.com/Thomas-Rhett-It-Goes-Like-This-lyrics
90,91,Bugatti,Ace-Hood,http://genius.com/Ace-Hood-Bugatti-lyrics
91,92,Wanted,Hunter-Hayes,http://genius.com/Hunter-Hayes-Wanted-lyrics
92,93,Downtown,Lady-Antebellum,http://genius.com/Lady-Antebellum-Downtown-lyrics
93,94,Get-Your-Shine-On,Florida-Georgia-Line,http://genius.com/Florida-Georgia-Line-Get-Your-Shine-On-lyrics
94,95,thatPower,william,http://genius.com/william-thatPower-lyrics
95,96,Brave,Sara-Bareilles,http://genius.com/Sara-Bareilles-Brave-lyrics
96,97,Let-Her-Go,Passenger,http://genius.com/Passenger-Let-Her-Go-lyrics
97,98,Runnin-Outta-Moonlight,Randy-Houser,http://genius.com/Randy-Houser-Runnin-Outta-Moonlight-lyrics
98,99,Im-Different,2-Chainz,http://genius.com/2-Chainz-Im-Different-lyrics
99,100,Still-Into-You,Paramore,http://genius.com/Paramore-Still-Into-You-lyrics
