1,Happy,Pharrell-Williams
2,Dark-Horse,Katy-Perry
3,All-of-Me,John-Legend
4,Fancy,Iggy-Azalea
5,Counting-Stars,OneRepublic
6,Talk-Dirty,Jason-Derulo
7,Rude,Magic
8,All-About-That-Bass,Meghan-Trainor
9,Problem,Ariana-Grande
10,Stay-with-Me,Sam-Smith
11,Timber,Pitbull
12,Pompeii,Bastille
13,Shake-It-Off,Taylor-Swift
14,Am-I-Wrong,Nico-and-Vinz
15,Turn-Down-for-What,DJ-Snake
16,The-Monster,Eminem
17,Say-Something,A-Great-Big-World
18,Team,Lorde
19,Let-Her-Go,Passenger
20,Royals,Lorde
21,Let-It-Go,Idina-Menzel
22,Wake-Me-Up,Avicii
23,Demons,Imagine-Dragons
24,Story-of-My-Life,One-Direction
25,Chandelier,Sia
26,Black-Widow,Iggy-Azalea
27,Bang-Bang,Jessie-J
28,Latch,Disclosure
29,Maps,Maroon-5
30,Loyal,Chris-Brown
31,Best-Day-of-My-Life,American-Authors
32,Habits-Stay-High,Tove-Lo
33,Summer,Calvin-Harris
34,Boom-Clap,Charli-XCX
35,Drunk-in-Love,Beyonce
36,Anaconda,Nicki-Minaj
37,Break-Free,Ariana-Grande
38,Bailando,Enrique-Iglesias
39,Burn,Ellie-Goulding
40,Wiggle,Jason-Derulo
41,Rather-Be,Clean-Bandit
42,Dont-Tell-Em,Jeremih
43,Show-Me,Kid-Ink
44,Wrecking-Ball,Miley-Cyrus
45,Not-a-Bad-Thing,Justin-Timberlake
46,Roar,Katy-Perry
47,Aint-It-Fun,Paramore
48,The-Man,Aloe-Blacc
49,This-Is-How-We-Roll,Florida-Georgia-Line
50,Classic,MKTO
51,A-Sky-Full-of-Stars,Coldplay
52,Dont,Ed-Sheeran
53,Na-Na,Trey-Songz
54,Hot-Boy,Bobby-Shmurda
55,Hold-On-Were-Going-Home,Drake
56,Sing,Ed-Sheeran
57,Radioactive,Imagine-Dragons
58,My-Hitta,YG
59,Cool-Kids,Echosmith
60,Hey-Brother,Avicii
61,Trumpets,Jason-Derulo
62,Animals,Maroon-5
63,Burnin-It-Down,Jason-Aldean
64,Play-It-Again,Luke-Bryan
65,2-On,Tinashe
66,Dirt,Florida-Georgia-Line
67,Love-Runs-Out,OneRepublic
68,Bottoms-Up,Brantley-Gilbert
69,Shower,Becky-G
70,Me-and-My-Broken-Heart,Rixton
71,Animals,Martin-Garrix
72,Lifestyle,Rich-Gang
73,American-Kids,Kenny-Chesney
74,Brave,Sara-Bareilles
75,Sweater-Weather,The-Neighbourhood
76,Leave-the-Night-On,Sam-Hunt
77,New-Flame,Chris-Brown
78,Love-Never-Felt-So-Good,Michael-Jackson
79,Drunk-on-a-Plane,Dierks-Bentley
80,Birthday,Katy-Perry
81,Bartender,Lady-Antebellum
82,La-La-La,Naughty-Boy
83,Blurred-Lines,Robin-Thicke
84,Do-What-U-Want,Lady-Gaga
85,Cant-Remember-to-Forget-You,Shakira
86,Amnesia,5-Seconds-of-Summer
87,No-Mediocre,TI
88,Come-with-Me-Now,Kongos
89,Believe-Me,Lil-Wayne
90,23,Mike-WiLL-Made-It
91,Beachin,Jake-Owen
92,White-Walls,Macklemore-and-Ryan-Lewis
93,She-Looks-So-Perfect,5-Seconds-of-Summer
94,Stay-the-Night,Zedd
95,Partition,Beyonce
96,Studio,ScHoolboy-Q
97,0-to-100-the-catch-up,Drake
98,I-Dont-Dance,Lee-Brice
99,Somethin-Bad,Miranda-Lambert
100,Adore-You,Miley-Cyrus
