1,Rolling-in-the-Deep,Adele
2,Party-Rock-Anthem,LMFAO
3,Firework,Katy-Perry
4,ET,Katy-Perry
5,Give-Me-Everything,Pitbull
6,Grenade,Bruno-Mars
7,Fuck-You,Cee-Lo-Green
8,Super-Bass,Nicki-Minaj
9,Moves-like-Jagger,Maroon-5
10,Just-Cant-Get-Enough,The-Black-Eyed-Peas
11,On-the-Floor,Jennifer-Lopez
12,SandM,Rihanna
13,Pumped-Up-Kicks,Foster-the-People
14,Last-Friday-Night-TGIF,Katy-Perry
15,Just-the-Way-You-Are,Bruno-Mars
16,Tonight-Im-Lovin-You,Enrique-Iglesias
17,Raise-Your-Glass,Pink
18,Born-This-Way,Lady-Gaga
19,Fuckin-Perfect,Pink
20,Whats-My-Name,Rihanna
21,Look-at-Me-Now,Chris-Brown
22,Down-on-Me,Jeremih
23,How-to-Love,Lil-Wayne
24,Someone-Like-You,Adele
25,Good-Life,OneRepublic
26,The-Lazy-Song,Bruno-Mars
27,Till-the-World-Ends,Britney-Spears
28,The-Show-Goes-On,Lupe-Fiasco
29,The-Edge-of-Glory,Lady-Gaga
30,We-R-Who-We-R,Kesha
31,Black-and-Yellow,Wiz-Khalifa
32,Tonight-Tonight,Hot-Chelle-Rae
33,Blow,Kesha
34,Lighters,Bad-Meets-Evil
35,If-I-Die-Young,The-Band-Perry
36,Stereo-Hearts,Gym-Class-Heroes
37,The-Time-Dirty-Bit,The-Black-Eyed-Peas
38,Coming-Home,Puff-Daddy
39,Hey-Baby-Drop-It-to-the-Floor,Pitbull
40,Only-Girl-In-the-World,Rihanna
41,6-Foot-7-Foot,Lil-Wayne
42,Just-a-Kiss,Lady-Antebellum
43,Dirt-Road-Anthem,Jason-Aldean
44,Dynamite,Taio-Cruz
45,No-Hands,Waka-Flocka-Flame
46,I-Wanna-Go,Britney-Spears
47,Im-on-One,DJ-Khaled
48,You-Make-Me-Feel,Cobra-Starship
49,Yeah-3x,Chris-Brown
50,Moment-4-Life,Nicki-Minaj
51,I-Need-a-Doctor,Dr-Dre-featuring
52,Just-a-Dream,Nelly
53,Motivation,Kelly-Rowland
54,Stereo-Love,Edward-Maya
55,Jar-of-Hearts,Christina-Perri
56,Roll-Up,Wiz-Khalifa
57,Sexy-and-I-Know-It,LMFAO
58,Rocketeer,Far-East-Movement
59,All-of-the-Lights,Kanye-West
60,Hold-It-Against-Me,Britney-Spears
61,More,Usher
62,What-the-Hell,Avril-Lavigne
63,Written-in-the-Stars,Tinie-Tempah
64,Bottoms-Up,Trey-Songz
65,DJ-Got-Us-Fallin-in-Love,Usher
66,For-the-First-Time,The-Script
67,Honey-Bee,Blake-Shelton
68,Dont-You-Wanna-Stay,Jason-Aldean
69,We-Found-Love,Rihanna
70,Pretty-Girl-Rock,Keri-Hilson
71,You-and-I,Lady-Gaga
72,Like-a-G6,Far-East-Movement
73,Without-You,David-Guetta
74,Back-to-December,Taylor-Swift
75,Teenage-Dream,Katy-Perry
76,Crazy-Girl,Eli-Young-Band
77,Cheers-Drink-to-That,Rihanna
78,Who-Says,Selena-Gomez-and-the-Scene
79,Barefoot-Blue-Jean-Night,Jake-Owen
80,Knee-Deep,Zac-Brown-Band
81,Country-Girl-Shake-It-for-Me,Luke-Bryan
82,Remind-Me,Brad-Paisley
83,In-the-Dark,Dev
84,Backseat,New-Boyz
85,Headlines,Drake
86,Best-Thing-I-Never-Had,Beyonce
87,Dont-Wanna-Go-Home,Jason-Derulo
88,Where-Them-Girls-At,David-Guetta
89,She-Aint-You,Chris-Brown
90,Take-a-Back-Road,Rodney-Atkins
91,Please-Dont-Go,Mike-Posner
92,Sure-Thing,Miguel
93,Price-Tag,Jessie-J
94,God-Gave-Me-You,Blake-Shelton
95,She-Will,Lil-Wayne
96,Are-You-Gonna-Kiss-Me-or-Not,Thompson-Square
97,Animal,Neon-Trees
98,You-and-Tequila,Kenny-Chesney
99,Colder-Weather,Zac-Brown-Band
100,My-Last,Big-Sean
