0,1,Happy,Pharrell-Williams,http://genius.com/Pharrell-Williams-Happy-lyrics
1,2,Dark-Horse,Katy-Perry,http://genius.com/Katy-Perry-Dark-Horse-lyrics
2,3,All-of-Me,John-Legend,http://genius.com/John-Legend-All-of-Me-lyrics
3,4,Fancy,Iggy-Azalea,http://genius.com/Iggy-Azalea-Fancy-lyrics
4,5,Counting-Stars,OneRepublic,http://genius.com/OneRepublic-Counting-Stars-lyrics
5,6,Talk-Dirty,Jason-Derulo,http://genius.com/Jason-Derulo-Talk-Dirty-lyrics
6,7,Rude,Magic,http://genius.com/Magic-Rude-lyrics
7,8,All-About-That-Bass,Meghan-Trainor,http://genius.com/Meghan-Trainor-All-About-That-Bass-lyrics
8,9,Problem,Ariana-Grande,http://genius.com/Ariana-Grande-Problem-lyrics
9,10,Stay-with-Me,Sam-Smith,http://genius.com/Sam-Smith-Stay-with-Me-lyrics
10,11,Timber,Pitbull,http://genius.com/Pitbull-Timber-lyrics
11,12,Pompeii,Bastille,http://genius.com/Bastille-Pompeii-lyrics
12,13,Shake-It-Off,Taylor-Swift,http://genius.com/Taylor-Swift-Shake-It-Off-lyrics
13,14,Am-I-Wrong,Nico-and-Vinz,http://genius.com/Nico-and-Vinz-Am-I-Wrong-lyrics
14,15,Turn-Down-for-What,DJ-Snake,http://genius.com/DJ-Snake-Turn-Down-for-What-lyrics
15,16,The-Monster,Eminem,http://genius.com/Eminem-The-Monster-lyrics
16,17,Say-Something,A-Great-Big-World,http://genius.com/A-Great-Big-World-Say-Something-lyrics
17,18,Team,Lorde,http://genius.com/Lorde-Team-lyrics
18,19,Let-Her-Go,Passenger,http://genius.com/Passenger-Let-Her-Go-lyrics
19,20,Royals,Lorde,http://genius.com/Lorde-Royals-lyrics
20,21,Let-It-Go,Idina-Menzel,http://genius.com/Idina-Menzel-Let-It-Go-lyrics
21,22,Wake-Me-Up,Avicii,http://genius.com/Avicii-Wake-Me-Up-lyrics
22,23,Demons,Imagine-Dragons,http://genius.com/Imagine-Dragons-Demons-lyrics
23,24,Story-of-My-Life,One-Direction,http://genius.com/One-Direction-Story-of-My-Life-lyrics
24,25,Chandelier,Sia,http://genius.com/Sia-Chandelier-lyrics
25,26,Black-Widow,Iggy-Azalea,http://genius.com/Iggy-Azalea-Black-Widow-lyrics
26,27,Bang-Bang,Jessie-J,http://genius.com/Jessie-J-Bang-Bang-lyrics
27,28,Latch,Disclosure,http://genius.com/Disclosure-Latch-lyrics
28,29,Maps,Maroon-5,http://genius.com/Maroon-5-Maps-lyrics
29,30,Loyal,Chris-Brown,http://genius.com/Chris-Brown-Loyal-lyrics
30,31,Best-Day-of-My-Life,American-Authors,http://genius.com/American-Authors-Best-Day-of-My-Life-lyrics
31,32,Habits-Stay-High,Tove-Lo,http://genius.com/Tove-Lo-Habits-Stay-High-lyrics
32,33,Summer,Calvin-Harris,http://genius.com/Calvin-Harris-Summer-lyrics
33,34,Boom-Clap,Charli-XCX,http://genius.com/Charli-XCX-Boom-Clap-lyrics
34,35,Drunk-in-Love,Beyonce,http://genius.com/Beyonce-Drunk-in-Love-lyrics
35,36,Anaconda,Nicki-Minaj,http://genius.com/Nicki-Minaj-Anaconda-lyrics
36,37,Break-Free,Ariana-Grande,http://genius.com/Ariana-Grande-Break-Free-lyrics
37,38,Bailando,Enrique-Iglesias,http://genius.com/Enrique-Iglesias-Bailando-lyrics
38,39,Burn,Ellie-Goulding,http://genius.com/Ellie-Goulding-Burn-lyrics
39,40,Wiggle,Jason-Derulo,http://genius.com/Jason-Derulo-Wiggle-lyrics
40,41,Rather-Be,Clean-Bandit,http://genius.com/Clean-Bandit-Rather-Be-lyrics
41,42,Dont-Tell-Em,Jeremih,http://genius.com/Jeremih-Dont-Tell-Em-lyrics
42,43,Show-Me,Kid-Ink,http://genius.com/Kid-Ink-Show-Me-lyrics
43,44,Wrecking-Ball,Miley-Cyrus,http://genius.com/Miley-Cyrus-Wrecking-Ball-lyrics
44,45,Not-a-Bad-Thing,Justin-Timberlake,http://genius.com/Justin-Timberlake-Not-a-Bad-Thing-lyrics
45,46,Roar,Katy-Perry,http://genius.com/Katy-Perry-Roar-lyrics
46,47,Aint-It-Fun,Paramore,http://genius.com/Paramore-Aint-It-Fun-lyrics
47,48,The-Man,Aloe-Blacc,http://genius.com/Aloe-Blacc-The-Man-lyrics
48,49,This-Is-How-We-Roll,Florida-Georgia-Line,http://genius.com/Florida-Georgia-Line-This-Is-How-We-Roll-lyrics
49,50,Classic,MKTO,http://genius.com/MKTO-Classic-lyrics
