,rank,songname,artist,urls,lyrics_raw
0,,,,,"[Verse 1] / I was a liar, I gave into the fire / I know I should’ve fought it / At least I’m being honest / Feel like a failure, cause I know that I failed you / I should’ve done you better cause you don’t want a liar / [Pre-Chorus] / And I know, and I know, and I know she gives you everything / But boy, I couldn’t give it to you / And I know, and I know, and I know that you got everything / But I got nothing here without you / [Chorus] / So one last time / I need to be the one who takes you home / One more time / I promise after that, I’ll let you go / Baby, I don’t care if you got her in your heart / All I really care is you wake up in my arms / One last time / I need to be the one who takes you home / [Verse 2] / I don’t deserve it / I know I don’t deserve it / But stay with me a minute, I’ll swear I’ll make it worth it / Can’t you forgive me? / At least just temporarily / I know that this is my fault, I should have been more careful / [Pre-Chorus] / And I know, and I know, and I know she gives you everything / But boy, I couldn’t give it to you / And I know, and I know, and I know that you got everything / But I got nothing here without you, baby / [Chorus] / So one last time / I need to be the one who takes you home / One more time / I promise after that, I’ll let you go / Baby, I don’t care if you got her in your heart / All I really care is you wake up in my arms / One last time / I need to be the one who takes you home / [Bridge] / I know I should've fought it, at least I'm being honest / Just stay with me a minute, I swear I’ll make it worth it / Cause I don’t want to be without you / [Chorus] / So one last time / I need to be the one who takes you home / One more time / I promise after that, I’ll let you go / Baby, I don’t care if you got her in your heart / All I really care is you wake up in my arms / One last time / I need to be the one who takes you home / [Outro] / One last time / I need to be the one who takes you home"
1,,,,,"[Produced by Jason Evigan] / [Verse 1] / With her wine-stained lips, yeah, she’s nothing but trouble / Cold to the touch but she’s warm as a devil / Gave her my heart but she wanted my soul / She tasted her break and I can’t get more / [Chorus] / You got me in chains / You got me in chains for your love / But, I wouldn’t change / No, I wouldn’t change this love / You got me chains / You got me in chains for your love / But, I wouldn’t change / No, I wouldn’t change this love / Try to break the chains but the chains only break me / Try to break the chains but the chains only break me / [Verse 2] / Alone in the night ‘til she knocks on my door, oh no / Wasted again but, I can’t say no, woah / [Refrain] / Baby tell me why, why you do, do me wrong / Baby tell me why, why you do, do me wrong / Gave you my heart, but you took my soul / [Chorus] / You got me in chains / You got me in chains for your love / But, I wouldn’t change / No, I wouldn’t change this love / You got me chains / You got me in chains for your love / But, I wouldn’t change / No, I wouldn’t change this love / Try to break the chains but the chains only break me / Try to break the chains but the chains only break me / [Refrain] / Baby tell me why, why you do, do me wrong / Baby tell me why, why you do, do me wrong / Gave you my heart but you took my soul / [Chorus] / You got me in chains / You got me in chains for your love / But, I wouldn’t change / No, I wouldn’t change this love / You got me chains / You got me in chains for your love / But, I wouldn’t change / No, I wouldn’t change this love / Try to break the chains but the chains only break me"
2,,,,,"[Hook: Chris Brown] / Baby, is you drunk? Is you had enough? / Are you here lookin' for love? / Got the club goin' crazy / All these bitches, but my eyes on you / Is you somebody's baby? / If you ain't, girl what we gon' do? / If you ain't gon' need it, baby / Give it all up for you right now / We got the club goin' crazy / All eyes on you / [Verse 1: Meek Mill] / She was the baddest, I was the realest / We was the flyest, up in the building / We was countin' this money, lovin' the feelin' / Look at you now, in love with a hitta / But now it's all eyes on me, / and it all lies on me / To say somethin' to your pretty ass / Some hood shit, what you looking at? / Cause I'm good for that, Birkin bags, I'm good for that / Might just be your plug for that / You might fall in love with that, got love for that / What's your name? Who you with? / Where you from? You the shit / Choose and pick, get the right one / All these chicks, got to like one / All these hits, you got to like one / All these bottles, got to like some / All these models, got the right one / What you gon' do? Hide or run? / You ready? / [Hook: Chris Brown] / Baby, is you drunk? Is you had enough? / Are you here lookin' for love? / Got the club goin' crazy / All these bitches, but my eyes on you / Is you somebody's baby? / If you ain't, girl what we gon' do? / If you ain't gon' need it, baby / Give it all up for you right now / We got the club goin' crazy / All eyes on you / [Verse 2: Nicki Minaj (Meek Mill)] / He was the realest, I was the baddest, we was the illest / When he approached me, I said, ""Yo what the deal is?"" / In and out them dealers, rockin' chinchillas / I got him in the back of that 'bach, I think he catchin' feelings / Now it's all eyes on us, and this all lies on trust / And if them bitches wanna trip, tell 'em they tour guide's on us / This kitty cat on reclusive, he duck, duckin' them gooses / I put him on to that new new, now he only fuck with exclusives / He was like (What's your name?) My name Nick / (Where you from?) New York in this bitch / (Choose and pick) You got the right one / All them hoes, ain't nothin' like them / Nigga you know you'd never wife them / None of them niggas ain't never hit this / Still at the top of all they hit lists / What they gon' do? Meek and Nick / [Hook: Chris Brown (Nicki Minaj)] / Baby, is you drunk? Is you had enough? / Are you here lookin' for love? / Got the club goin' crazy / (All these hittas, but my eyes on you / Is you somebody's baby? / If you ain't, boy what we gon' do?) / If you ain't gon' need it, baby / Give it all up for you right now / We got the club goin' crazy / All eyes on you / [Outro: Meek Mill (Nicki Minaj)] / She was the baddest (He was the realest) / We was the flyest (We was the illest) / I was the realest (I was the baddest) / We was the flyest, up in the buildin'"
3,,,,,"[Intro: Swae Lee] / Yah, bad bitches is the... yah / [Hook: Swae Lee] / I don't got no type / Bad bitches is the only thing that I like / You ain't got no life / Cups with the ice and we do this every night / I ain't check the price / I make my own money, so I spend it how I like / I'm just livin' life / And let my mama tell it, nigga, I ain't livin' right / [Verse 1: Swae Lee] / Chop the top off the Porsche, that's a headless horse / Extendo long as an extension cord / Bitch, I ball like Jordan and I play full court / And if you not my type then you know I got to keep this shit short / What you know about a check? What you got up in your pocket? / What you spending when you shopping, dawg? / Why you wanna go flex? Like you all in the mix / Like you got some shit popping off / I got some models that you see up in the movies / And they want to make a flick for the camera / Wanna be Kim Kardashian, heard I was livin' like a bachelor / [Hook: Swae Lee] / I don't got no type / Bad bitches is the only thing that I like / You ain't got no life / Cups with the ice and we do this every night / I ain't check the price / I make my own money, so I spend it how I like / I'm just livin' life / And let my mama tell it, nigga, I ain't livin' right / [Verse 2: Slim Jimmy] / Spend it how I like, sinnin' every night / Push start the whip, brought it straight to life / Blowin' on the kush, 'til I'm out of sight / I don't check the price, all I do is swipe / She said, ""What's your type?"", I said, ""I like what I like"" / I don't second guess, I just roll the dice (keep it moving) / Keep your two cents, take your own advice / I've been livin' life, like I lived twice / [Hook: Swae Lee] / I don't got no type / Bad bitches is the only thing that I like / You ain't got no life / Cups with the ice and we do this every night / I ain't check the price / I make my own money, so I spend it how I like / I'm just livin' life / And let my mama tell it, nigga, I ain't livin' right / [Outro] / I don't got no type, I don't got no type / And let my mama tell it, nigga, I ain't livin' right"
4,,,,,"[Verse 1] / I was scared of dentists and the dark / I was scared of pretty girls and starting conversations / Oh, all my friends are turning green / You're the magician's assistant in their dreams / Oh, and they come unstuck / [Chorus] / Lady, running down to the riptide / Taken away to the dark side / I wanna be your left hand man / I love you when you're singing that song and / I got a lump in my throat cause / You're gonna sing the words wrong / [Verse 2] / There's this movie that I think you'll like / This guy decides to quit his job and heads to New York City / This cowboy's running from himself / And she's been living on the highest shelf / Oh, and they come unstuck / [Chorus] / Lady, running down to the riptide / Taken away to the dark side / I wanna be your left hand man / I love you when you're singing that song and / I got a lump in my throat cause / You're gonna sing the words wrong / [Bridge] / I just wanna, I just wanna know / If you're gonna, if you're gonna stay / I just gotta, I just gotta know / I can't have it, I can't have it any other way / I swear she's destined for the screen / Closest thing to Michelle Pfeiffer that you've ever seen, oh / [Chorus] / Oh lady, running down to the riptide / Taken away to the dark side / I wanna be your left hand man / I love you when you're singing that song and / I got a lump in my throat cause / You're gonna sing the words wrong / Oh lady, running down to the riptide / Taken away to the dark side / I wanna be your left hand man / I love you when you're singing that song and / I got a lump in my throat cause / You're gonna sing the words wrong / Oh lady, running down to the riptide / Taken away to the dark side / I wanna be your left hand man / I love you when you're singing that song and / I got a lump in my throat cause / You're gonna sing the words wrong / I got a lump in my throat cause you're gonna sing the words wrong"
5,,,,,"[Verse 1] / My name calling all night / I can pull the wool while I'm being polite / Like, darling calling all night / I can be a bull while I'm being polite / Like, oh me, oh me oh my / I know many women want to be in my life / Like, oh me, oh me oh my / Why can't every woman end up being my wife? / [Pre-Hook] / Even if she go away, even if she go away / Even if she go away, even if she go away / [Hook] / I'm a classic man / You can be mean when you look this clean, I'm a classic man / Calling on me like a young OG, I'm a classic man / Your needs get met by the street, elegant old fashioned man / Yeah baby I'm a classic man / [Verse 2] / I burn through the hood like whoa / When everybody's feeling so cold / I cool like Nat King Cole / And niggas get a bit of my glow / I got charm like a leprechaun, mummafunka / Now y'all fucking with the wrong mummafunka / Chief be like a don, mummafunka / And we don't live by the law, mummafunka / [Pre-Hook] / Even if she go away, even if she go away / Even if she go away, even if she go away / [Hook] / I'm a classic man / You can be mean when you look this clean, I'm a classic man / Calling on me like a young OG, I'm a classic man / Your needs get met by the street, elegant old fashioned man / Yeah baby I'm a classic man / [Verse 3: Roman GianArthur] / I burn through the gate like whoa / And everybody get in, we know / I love life, living like gold / And niggas wanna get in my glow / I got mad love for my crew, / mu'fucker / I'm the- I'm the man, who you mu'fucker? / Shine bright like a jewel, mummafunka / Even under fire I'm cool, mummafunka / [Pre-Hook 2: Roman GianArthur] / Even when she go away, even when she go away / Even when she go away, even when she go away / [Hook: Jidenna] / I'm a classic man / You can be mean when you look this clean, I'm a classic man / Calling on me like a young OG, I'm a classic man / Your needs get met by the street, elegant old fashioned man / Yeah baby I'm a classic man / [Verse 4] / Keep my gloves dirty but my hands clean / Got to keep the business in the family / Breadwinner filling up the pantry / Now my niggas slang cane like a dandy / I tell you how it go / You pull out rubber bands, I pull out an envelope / The ladies on my elbow ain't for the show / Every madame on my team is a top general, oh / Got to be ready for war, war / Should they get into my door, door? / Get 'em, we'll get 'em, I know that we'll get 'em / Cause I lived through this shit before, oh / [Hook] / I'm a classic man / You can be mean when you look this clean, I'm a classic man / Calling on me like a young OG, I'm a classic man / Your needs get met by the street, elegant old fashioned man / Yeah baby I'm a classic man / [Outro] / I'm a classic man / I'm a classic man / I'm a classic man / Old fashioned man / I'm a classic man"
6,,,,,"[Verse 1] / Well, I had me a boy, turned him into a man / I showed him all the things that he didn't understand / Whoa, and then I let him go / Now, there's one in California who's been cursing my name / Cause I found me a better lover in the UK / Hey, hey, until I made my getaway / [Pre-Chorus 1] / One, two, three, they gonna run back to me / Cause I'm the best baby that they never gotta keep / One, two, three, they gonna run back to me / They always wanna come, but they never wanna leave / [Chorus 1] / Ex's and the oh, oh, oh's they haunt me / Like ghosts they want me to make 'em O / They won't let go / Ex's and oh's / [Verse 2] / I had a summer lover down in New Orleans / Kept him warm in the winter, left him frozen in the spring / My, my, how the seasons go by / I get high, and I love to get low / So the hearts keep breaking, and the heads just roll / You know that's how the story goes / [Pre-Chorus 1] / One, two, three, they gonna run back to me / Cause I'm the best baby that they never gotta keep / One, two, three, they gonna run back to me / They always wanna come, but they never wanna leave / [Chorus 2] / Ex's and the oh, oh, oh's they haunt me / Like ghosts they want me to make 'em O / They won't let go / Ex's and the oh, oh, oh's they haunt me / Like ghosts they want me to make 'em O / They won't let go / Ex's and oh's / [Pre-Chorus 2] / One, two, three, they gonna run back to me / Climbing over mountains and a-sailing over seas / One, two, three, they gonna run back to me / They always wanna come, but they never wanna leave / [Chorus 2] / My ex’s and the oh, oh, oh’s they haunt me / Like ghosts they want me to make ‘em O / They won’t let go / Ex’s and the oh, oh, oh’s they haunt me / Like ghosts they want me to make ‘em O / They won’t let go / Ex’s and oh’s"
7,,,,,"[Intro] / Dear future husband / Here's a few things you'll need to know if / You want to be my one and only / All my life / [Verse 1] / Take me on a date, I deserve it, babe / And don't forget the flowers every anniversary / Cause if you'll treat me right, I'll be the perfect wife / Buying groceries, buy-buying what you need / You got the 9 to 5, okay but so do I / So don't be thinkin' I'll be home and baking apple pies / I never learned to cook, but I can write a hook / Sing along with me, sing sing along with me / [Pre-Chorus] / You've gotta know how to treat me like a lady / Even when I'm actin' crazy / Tell me everything's alright / [Chorus] / Dear future husband / Here's a few things you'll need to know if / You want to be my one and only / All my life / Dear future husband / If you wanna get that special loving / Tell me I'm beautiful each and every night / [Verse 2] / After every fight, just apologize / And maybe then I'll let you try and rock my body right / Even if I was wrong, you know I'm never wrong / Why disagree, why why disagree / [Pre-Chorus] / You've gotta know how to treat me like a lady / Even when I'm actin' crazy / Tell me everything's alright / [Chorus] / Dear future husband / Here's a few things you'll need to know if / You want to be my one and only / All my life / Dear future husband / Make time for me, don't leave me lonely / And no we'll never see your family more than mine / [Bridge] / I'll be sleeping on the left side of the bed / Open doors for me and you might get some... kisses / Don't have a dirty mind, just be a classy guy / Buy me a ring, buy buy me a ring babe / [Pre-Chorus] / You've gotta know how to treat me like a lady / Even when I'm actin' crazy / Tell me everything's alright / [Chorus] / Dear future husband / Here's a few things you'll need to know if / You want to be my one and only / All my life / Dear future husband / If you want to get that special lovin' / Tell me I'm beautiful each and every night / Future husband, better love me right"
8,,,,,"[Intro: Charlie Puth] / Let's Marvin Gaye and get it on / You got the healing that I want / Just like they say it in the song / Until the dawn, let's Marvin Gaye and get it on / [Verse 1: Charlie Puth] / We got this king-size to ourselves / Don't have to share with no one else / Don't keep your secrets to yourself / It's Kama Sutra show and tell, yeah / [Pre-Chorus: Charlie Puth] / Woah-oh-oh-oh / There's lovin' in your eyes that pulls me closer / It's so subtle, I'm in trouble / But I'd love to be in trouble with you / [Chorus: Charlie Puth & Meghan Trainor] / Let's Marvin Gaye and get it on / You got the healing that I want / Just like they say it in the song / Until the dawn, let's Marvin Gaye and get it on / You've got to give it up to me / I'm screaming, ""Mercy, mercy, please!"" / Just like they say it in the song / Until the dawn, let's Marvin Gaye and get it on / [Verse 2: Meghan Trainor] / And when you leave me all alone / I'm like a stray without a home / I'm like a dog without a bone / I just want you for my own / I got to have you, babe / [Pre-Chorus 2: Charlie Puth & Meghan Trainor] / Woah-oh-oh-oh / There's lovin' in your eyes that pulls me closer / It's so subtle, I'm in trouble / But I'd rather be in trouble with you / [Bridge: Charlie Puth & / Meghan Trainor / ] / Let's Marvin Gaye and get it on / Ooh, baby, I got that healing that you want, yes / Like they say it in the songs / Until the dawn, let's Marvin Gaye and get it on / [Chorus: Charlie Puth & Meghan Trainor] / Let's Marvin Gaye and get it on / You got the healing that I want / Just like they say it in the song / Until the dawn, let's Marvin Gaye and get it on, babe / You've got to give it up to me / I'm screaming, ""Mercy, mercy, please!"" / Just like they say it in the song / Until the dawn, let's Marvin Gaye and get it on / Just like they say it in the song / Until the dawn, let's Marvin Gaye and get it on, ooh"
9,,,,,"[Verse 1: Meghan Trainor] / I found myself dreaming in silver and gold / Like a scene from a movie that every broken heart knows / We were walking on moonlight, and you pulled me close / Split second and you disappeared and then I was all alone / [Pre-Chorus 1: Meghan Trainor] / I woke up in tears, with you by my side / A breath of relief, and I realized / No, we're not promised tomorrow / [Chorus: Meghan Trainor] / So I'm gonna love you like I'm gonna lose you / I'm gonna hold you, like I'm saying goodbye / Wherever we're standing, I won't take you for granted / Cause we'll never know when / When we'll run out of time / So I'm gonna love you, like I'm gonna lose you / I'm gonna love you, like I'm gonna lose you / [Verse 2: John Legend] / In the blink of an eye, just a whisper of smoke / You could lose everything, the truth is you never know / So I'll kiss you longer baby, any chance that I get / I'll make the most of the minutes and love with no regret / [Pre-Chorus 2: John Legend] / So let's take our time to say what we want / Use what we got before it's all gone / No, we're not promised tomorrow / [Chorus: Meghan Trainor and John Legend] / So I'm gonna love you like I'm gonna lose you / I'm gonna hold you, like I'm saying goodbye / Wherever we're standing, I won't take you for granted / Cause we'll never know when / When we'll run out of time / So I'm gonna love you, like I'm gonna lose you / I'm gonna love you, like I'm gonna lose you / [Bridge: Meghan Trainor and John Legend] / So I'm gonna love you / Like I'm gonna lose you / I'm gonna love you / Like I'm gonna lose you / [Chorus: Meghan Trainor and John Legend] / So I'm gonna love you like I'm gonna lose you / I'm gonna hold you, like I'm saying goodbye / Wherever we're standing, I won't take you for granted / Cause we'll never know when / When we'll run out of time / So I'm gonna love you, like I'm gonna lose you / I'm gonna love you, like I'm gonna lose you / [Outro: Meghan Trainor and John Legend] / So I'm gonna love you / Like I'm gonna lose you / I'm gonna love you / Like I'm gonna lose you"
